fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-1.075838461,-0.337845499,-2.723623084,0.853179614,-0.325432243,-1.182773147,-0.485617665,0.023274406,1.783871822,-0.297108841,1.219204406,6
-0.036381011,-0.145295227,-0.057180382,0.093077339,6.92693586,1.391052205,0.645101685,0.608500512,-0.596802335,-0.844494628,-1.144052826,6
0.112112911,-0.04902009,-0.057180382,0.071963387,6.969596849,1.500576688,0.697693283,0.608500512,-0.596802335,-0.844494628,-1.144052826,5
1.300064283,0.432355592,-0.679350346,0.578698237,2.532854009,-0.689912973,0.671397484,1.376834172,-1.226980789,0.797662733,-1.065277585,5
1.151570361,0.913731274,0.742752428,1.043205183,-0.496076199,-0.525626248,1.959891627,1.103968012,-0.946901476,0.250276946,-0.67140138,6
0.854582518,-0.337845499,-0.146061806,-0.413657511,-0.112127299,-0.087528316,-0.406730269,-1.035877135,-0.176683366,-1.665573308,1.297979647,6
-0.333368854,-0.530395772,-0.501587499,-0.962620265,-0.06946631,-0.58038849,-0.38043447,-0.353711735,1.433772681,0.888893697,0.03757579,6
-0.630356697,-0.434120636,-0.590468923,0.261988955,-0.06946631,-0.744675214,-0.433026067,0.551055005,1.363752853,0.797662733,-0.277525174,6
-0.333368854,-0.530395772,-0.323824653,1.127660991,0.186499623,0.898192031,0.092889909,0.601319824,0.243435603,-1.118187521,-0.041199451,6
0.260606832,-0.722946045,-0.323824653,-0.962620265,-0.282771254,0.076758409,-0.354138671,-0.46860275,1.363752853,0.706431768,0.116351031,7
-0.184874932,-0.337845499,-0.146061806,-0.878164457,-0.410754221,-1.018486422,-1.116716837,-0.816866138,1.013653712,1.071355626,0.74655296,6
0.409100754,0.432355592,-0.501587499,-0.286973799,-0.325432243,-1.018486422,-0.222659677,-0.396795866,1.223713197,1.983665271,1.376754888,6
-1.075838461,-0.674808477,-0.590468923,0.768723805,0.357143578,1.336289964,0.276960501,0.849053574,-0.106663538,-0.935725592,-0.513850897,6
1.151570361,-0.626670909,-0.234943229,-0.899278409,0.015855668,-0.087528316,-0.695984056,-1.118455051,-0.456762679,-1.665573308,0.904103442,5
0.854582518,-0.337845499,-0.146061806,-0.413657511,-0.112127299,-0.087528316,-0.406730269,-1.035877135,-0.176683366,-1.665573308,1.297979647,6
0.112112911,-0.241570363,-0.057180382,-0.962620265,-0.240110266,-0.854199697,-1.143012636,-0.788143384,0.943633884,1.436279484,0.510227236,6
-0.036381011,1.106281546,-0.76823177,0.240875003,-0.45341521,-0.635150731,-0.327842872,-0.490144815,0.103395946,-0.935725592,0.856838297,7
0.557594675,1.106281546,-0.590468923,-0.160290086,-0.45341521,-0.087528316,-0.38043447,-1.071780577,-0.456762679,-0.47957077,1.607828926,7
1.300064283,2.791096433,-0.945994616,0.895407518,1.722295221,-0.963724181,-0.932646245,1.337340386,-0.386742851,-0.844494628,-1.144052826,5
0.557594675,0.432355592,-0.412706076,-0.899278409,-0.325432243,1.281527722,0.224368904,-1.359008113,-1.297000617,-0.205877876,1.061653924,7
-0.036381011,1.106281546,-0.76823177,0.240875003,-0.45341521,-0.635150731,-0.327842872,-0.490144815,0.103395946,-0.935725592,0.856838297,7
0.557594675,1.106281546,-0.590468923,-0.160290086,-0.45341521,-0.087528316,-0.38043447,-1.071780577,-0.456762679,-0.47957077,1.607828926,7
0.112112911,-0.337845499,0.387226735,0.325330812,0.442465556,0.569618582,1.618046242,0.784427378,-0.176683366,0.067815017,-1.065277585,5
-0.036381011,-0.145295227,-0.76823177,1.127660991,-0.410754221,-0.416101765,0.53991849,0.490019153,-1.297000617,-1.483111379,-0.198749933,6
1.597052126,-1.300596863,0.209463888,-1.047076074,-0.154788288,0.679143065,-0.222659677,-0.396795866,-1.016921304,1.709972377,-0.277525174,7
3.08199134,-0.241570363,-0.057180382,-0.835936553,-0.368093232,0.076758409,-0.012293286,-0.802504761,-2.067218727,-1.756804273,0.483968825,6
-0.630356697,-0.915496318,-0.234943229,-1.089303978,-0.112127299,0.569618582,-0.774871452,-0.98920266,1.503792509,-0.753263663,0.431451995,6
0.112112911,-0.530395772,-0.412706076,0.430900572,0.357143578,0.679143065,1.381384053,0.823921164,-0.456762679,0.067815017,-1.065277585,5
1.597052126,0.817456137,0.298345311,0.452014524,0.271821601,0.514856341,1.013242869,1.143461799,-0.526782507,0.250276946,-1.301603308,5
0.112112911,-0.530395772,-0.412706076,0.430900572,0.357143578,0.679143065,1.381384053,0.823921164,-0.456762679,0.067815017,-1.065277585,5
0.112112911,1.202556683,-1.03487604,0.663154045,-0.112127299,-0.361339524,0.408439495,0.446935023,0.313455431,0.34150791,0.100595983,5
0.112112911,-0.626670909,-0.412706076,0.40978662,0.357143578,0.679143065,1.355088254,0.831101853,-0.456762679,-0.023415948,-1.144052826,5
0.112112911,-0.530395772,-0.412706076,0.430900572,0.357143578,0.679143065,1.381384053,0.823921164,-0.456762679,0.067815017,-1.065277585,5
1.597052126,0.817456137,0.298345311,0.452014524,0.271821601,0.514856341,1.013242869,1.143461799,-0.526782507,0.250276946,-1.301603308,5
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
0.706088597,-0.530395772,-0.146061806,-0.878164457,-0.06946631,-1.073248664,-0.880054648,-0.274724163,0.313455431,1.34504852,-0.356300415,8
1.448558204,-1.011771454,-0.323824653,1.634395841,0.485126545,0.569618582,0.671397484,1.789723756,-1.717119586,-0.753263663,-1.616704272,8
1.597052126,-0.241570363,1.898210932,2.014446978,0.357143578,0.076758409,0.250664702,1.721507216,-1.016921304,1.162586591,-0.645142968,6
-0.92734454,-0.145295227,0.387226735,-1.047076074,0.271821601,0.241045133,0.3032563,-0.719926844,1.783871822,1.801203342,0.352676754,6
-0.778850618,-0.722946045,-0.501587499,-0.983734218,-0.922686087,-0.744675214,-0.538209263,-0.267543474,1.293733025,0.797662733,-0.356300415,6
0.557594675,-0.241570363,3.40919513,-1.047076074,5.561784217,0.076758409,-0.617096659,-0.073664887,-1.57707993,-0.570801734,-1.301603308,6
1.151570361,-0.915496318,0.387226735,-0.624797032,-0.496076199,-0.744675214,-0.59080086,-0.407566898,-0.526782507,0.432738875,0.195126272,6
0.557594675,-0.241570363,3.40919513,-1.047076074,5.561784217,0.076758409,-0.617096659,-0.073664887,-1.57707993,-0.570801734,-1.301603308,6
1.151570361,-0.626670909,-0.057180382,-0.751480745,-0.496076199,1.500576688,0.487326892,-0.67325237,-1.086941132,0.615200804,0.352676754,7
1.894039969,0.143530183,1.898210932,1.486598176,-0.154788288,1.445814447,0.487326892,1.904614771,-1.437040273,-0.205877876,-1.380378549,6
1.300064283,0.432355592,-0.234943229,0.895407518,2.660836976,0.460094099,1.512863047,1.541990006,-1.57707993,0.706431768,-1.144052826,5
1.00307644,0.624905864,-0.501587499,-0.09694823,-1.306634987,-1.128010905,-1.484858021,-1.240526754,-2.557357524,0.888893697,1.849406334,6
0.112112911,0.143530183,-0.234943229,-0.772594697,-0.282771254,-0.032766075,0.198073105,-1.301562606,0.243435603,-1.026956557,1.455530129,6
1.448558204,-0.145295227,0.387226735,-0.962620265,0.357143578,-0.197052799,0.487326892,-0.46860275,-0.03664371,-0.205877876,-0.119974692,5
1.597052126,-1.300596863,-0.057180382,-1.00484817,0.783753467,-0.032766075,0.960651271,-0.619397207,-0.526782507,-0.662032699,0.457710406,6
0.112112911,0.143530183,-0.323824653,0.261988955,0.143838634,0.733905307,1.039538668,0.05199716,0.593534743,-0.388339805,0.195126272,6
0.112112911,0.143530183,-0.234943229,-0.772594697,-0.282771254,-0.032766075,0.198073105,-1.301562606,0.243435603,-1.026956557,1.455530129,6
-0.184874932,-0.04902009,-0.146061806,-0.118062182,0.015855668,0.021996167,1.276200857,0.016093718,0.453495087,0.159045981,-0.251266763,5
-0.630356697,-0.145295227,0.298345311,-0.540341224,-0.240110266,0.84342979,1.696933639,-0.676842714,0.873614056,0.250276946,0.589002477,6
0.260606832,-0.626670909,-0.945994616,0.283102908,0.186499623,0.514856341,1.302496656,0.701849461,-0.03664371,-0.114646912,-1.039019171,5
1.300064283,0.432355592,-0.945994616,-0.075834278,0.698431489,0.952954273,1.933595828,0.54746466,-0.106663538,-0.47957077,-0.828951862,6
1.448558204,-0.145295227,0.387226735,-0.962620265,0.357143578,-0.197052799,0.487326892,-0.46860275,-0.03664371,-0.205877876,-0.119974692,5
0.260606832,-0.915496318,0.209463888,-0.983734218,-0.282771254,0.076758409,-0.511913464,-1.078961265,0.243435603,1.436279484,0.904103442,6
