fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.084864597,-0.058802624,0.180269754,2.790017893,-0.036655575,0.570167633,0.707867594,2.283927436,-1.24041025,-0.343943534,-1.368910422,6
-0.749662704,0.240763174,0.015890969,-0.942731622,0.148365752,-1.272374085,-0.177029206,-0.053051981,0.731728712,0.004643228,-0.794109806,6
1.396264643,0.041052642,0.509027324,0.09305751,0.194621084,-0.321384812,-0.992065732,0.314187642,0.46877685,-0.431090225,-0.301423563,6
0.323300969,-0.458223689,-0.148487816,0.405748569,0.564663739,0.689041292,1.08045572,0.481114743,0.008611092,-0.779676987,-0.465652311,6
0.323300969,-0.458223689,-0.148487816,0.405748569,0.564663739,0.689041292,1.08045572,0.481114743,0.008611092,-0.779676987,-0.465652311,6
1.396264643,0.041052642,0.509027324,0.09305751,0.194621084,-0.321384812,-0.992065732,0.314187642,0.46877685,-0.431090225,-0.301423563,6
-0.86888089,0.440473707,-1.463518095,0.112600701,-0.036655575,-0.321384812,-0.083882174,0.247416802,-0.057126873,-0.169650153,-0.711995432,6
0.084864597,-0.058802624,0.180269754,2.790017893,-0.036655575,0.570167633,0.707867594,2.283927436,-1.24041025,-0.343943534,-1.368910422,6
-0.749662704,0.240763174,0.015890969,-0.942731622,0.148365752,-1.272374085,-0.177029206,-0.053051981,0.731728712,0.004643228,-0.794109806,6
1.396264643,-0.558078955,0.755595501,-0.962274813,-0.082910907,-0.440258471,-0.24688948,-0.119822821,0.205824988,-0.343943534,0.437605801,6
1.396264643,-0.058802624,0.591216716,-0.972046409,-0.591719556,-1.450684574,-1.7838155,-1.121385428,-1.306148216,0.614670061,1.258749538,5
1.992355573,-0.458223689,0.509027324,-0.434608652,-0.499208893,-1.094063597,-0.712624637,0.180645961,-0.320078735,0.353229989,-0.629881058,5
1.157828271,-0.957500019,0.262459146,-1.020904387,-0.267932234,-1.153500426,-1.504374405,-0.720760385,-0.057126873,1.224696894,0.273377053,5
-0.392008146,-1.157210552,0.509027324,-0.962274813,-0.082910907,0.748478121,0.079125131,-0.987843747,2.309439881,0.266083299,1.587207033,7
1.634701015,1.439026368,2.317193957,2.506641621,-0.267932234,0.332420314,0.754441109,2.016844074,-1.371886181,1.573283656,-0.629881058,5
-0.392008146,-1.057355286,0.344648539,-0.962274813,-0.637974888,-0.440258471,-0.642764364,-0.921072907,0.403038885,0.52752337,0.766063296,7
-0.749662704,2.038157965,-2.449790804,-1.040447578,0.009599757,-0.321384812,-0.945492216,-0.453677023,0.337300919,-1.128263748,-0.711995432,6
-0.86888089,3.835552755,1.166542463,-1.020904387,-0.776740884,-0.380821641,-1.504374405,-1.655552152,0.928942608,-0.866823677,1.915664528,8
0.561737341,0.640184239,0.673406109,-1.040447578,-0.591719556,-1.094063597,0.731154351,-0.820916646,-0.451554666,0.353229989,0.683948922,6
-0.511226332,0.34061844,-1.62789688,0.210316657,-0.082910907,-0.083637493,-0.153742448,0.447729323,0.205824988,0.091789918,-0.794109806,5
-0.86888089,3.835552755,1.166542463,-1.020904387,-0.776740884,-0.380821641,-1.504374405,-1.655552152,0.928942608,-0.866823677,1.915664528,8
-0.630444518,0.34061844,0.344648539,-0.688670137,-0.360442897,-0.975189937,-0.875631942,-0.987843747,-0.122864839,-1.215410439,0.437605801,7
-0.153571774,-0.15865789,0.673406109,-0.923188431,0.148365752,0.332420314,-0.409896785,-0.386906183,1.849274124,-0.082503463,0.027033932,8
0.800173713,3.935408022,-1.62789688,-0.962274813,1.304749048,-0.61856896,0.661294078,-0.153208241,-0.911720423,0.178936609,-0.958338553,5
-0.392008146,-0.058802624,0.591216716,-1.001361196,0.287131748,-1.153500426,0.055838373,0.314187642,1.520584297,-0.169650153,-0.383537937,6
0.084864597,-0.258513156,-0.148487816,0.503464525,0.009599757,1.223972758,2.454374435,0.447729323,0.403038885,0.091789918,-0.055080442,6
-0.034353588,-0.358368423,0.098080362,-1.059990769,0.287131748,-0.024200664,0.148985404,-0.386906183,1.717798193,-0.431090225,-0.383537937,6
0.084864597,0.041052642,0.426837931,0.444834951,0.240876416,-0.202511152,0.032551615,0.648041844,1.257632435,0.353229989,0.027033932,6
0.561737341,-0.058802624,1.166542463,-1.040447578,0.055855089,-1.094063597,-0.177029206,-0.921072907,0.008611092,0.004643228,0.930292043,6
0.323300969,0.440473707,0.180269754,-0.864558858,-0.591719556,0.094672996,-0.596190848,-1.188156269,-0.583030596,1.921870418,1.505092659,7
1.873137387,-0.358368423,0.426837931,0.777069202,-0.082910907,-0.915753108,0.055838373,1.082052307,0.074349058,0.353229989,-0.383537937,6
1.634701015,-1.356921084,0.015890969,-1.040447578,-0.17542157,-1.688431893,-2.156403626,-0.253364502,1.849274124,-0.779676987,-0.219309189,6
0.561737341,-0.258513156,0.180269754,-0.854787262,0.194621084,-0.261947982,-0.922205458,-0.720760385,0.008611092,-0.431090225,0.273377053,6
-0.86888089,-1.556631616,0.015890969,-0.962274813,-0.036655575,0.451293973,-0.526330574,-0.086437401,1.520584297,0.178936609,-1.204681674,6
-1.345753634,-0.058802624,-1.134760525,1.6662844,-0.082910907,-0.796879449,0.917448415,0.681427265,1.19189447,-1.041117058,-0.219309189,5
0.442519155,0.041052642,0.755595501,-0.923188431,1.582281038,-0.856316278,-0.386610027,-1.221541689,0.008611092,-0.605383606,1.915664528,5
-0.511226332,1.13946057,-0.888192348,-0.200090357,0.240876416,-0.61856896,0.218845678,-0.253364502,0.337300919,-1.215410439,-0.383537937,5
0.084864597,0.540328973,-0.148487816,-1.020904387,0.33338708,0.154109825,-0.037308659,-1.188156269,-0.3858167,-1.825437272,0.601834548,6
0.442519155,-0.358368423,0.426837931,2.252580136,0.518408407,0.570167633,0.218845678,1.916687813,0.140087023,-1.128263748,-1.533139169,5
0.442519155,-0.358368423,0.426837931,2.252580136,0.518408407,0.570167633,0.218845678,1.916687813,0.140087023,-1.128263748,-1.533139169,5
-0.27278996,-0.458223689,0.426837931,-0.766842902,5.837771564,1.640030566,0.428426499,-0.153208241,-0.517292631,-1.128263748,-0.876224179,6
